,Name,ISIN,coupon,issue date,last coupon date,maturity date,month_to_maturity,Clean1.10,Clean1.11,Clean1.12,Clean1.13,Clean1.14,Clean1.17,Clean1.18,Clean1.19,Clean1.20,Clean1.21,Clean1.24
10,CAN 0.25 Apr 24,CA135087L690,0.0025,2020-10-16,2021-10-01,2024-04-01,27,97.89082191780821,97.89013698630136,97.85945205479453,97.82876712328768,97.78808219178082,97.60602739726028,97.53534246575343,97.52465753424657,97.52397260273972,97.63328767123286,97.67123287671232
11,CAN 0.25 Feb 23,CA135087L773,0.0025,2020-10-26,2021-08-01,2023-02-01,13,99.19904109589041,99.14835616438357,99.17767123287672,99.16698630136986,99.14630136986302,99.06424657534247,99.00356164383562,98.98287671232876,99.03219178082192,99.08150684931508,99.09945205479453
12,CAN 0.25 May 23,CA135087L856,0.0025,2021-02-05,2021-11-01,2023-05-01,16,99.03205479452055,99.02136986301369,99.00068493150685,98.99000000000001,98.95931506849315,98.84726027397261,98.79657534246574,98.81589041095891,98.81520547945206,98.8645205479452,98.89246575342466
13,CAN 0.25 Aug 23,CA135087M359,0.0025,2021-05-14,2021-08-01,2023-08-01,19,98.69704109589041,98.68835616438356,98.66867123287672,98.64998630136986,98.62230136986302,98.49424657534246,98.43256164383563,98.41687671232877,98.44019178082192,98.49250684931508,98.51445205479453
14,CAN 0.75 Oct 24,CA135087M508,0.0075,2021-07-12,2021-10-01,2024-10-01,33,98.34746575342466,98.3504109589041,98.31835616438356,98.27130136986301,98.22424657534246,97.98308219178082,97.89102739726027,97.89897260273973,97.91191780821917,98.04486301369863,98.11369863013698
15,CAN 0.5 Nov 23,CA135087M763,0.005,2021-08-09,2021-11-01,2023-11-01,22,98.8721095890411,98.85773972602739,98.8353698630137,98.811,98.7766301369863,98.6265205479452,98.55915068493151,98.5197808219178,98.55141095890411,98.6060410958904,98.63093150684931
16,CAN 0.75 Feb 24,CA135087M920,0.0075,2021-10-22,2021-08-01,2024-02-01,25,98.86712328767123,98.86506849315069,98.82301369863013,98.79095890410959,98.74890410958905,98.5727397260274,98.49068493150685,98.4886301369863,98.47657534246575,98.54452054794521,98.58835616438357
17,CAN 9.25 Jun 22,CA135087UM44,0.0925,1991-12-15,2021-12-01,2022-06-01,4,102.37630136986301,102.32095890410959,102.26561643835616,102.16027397260274,102.0949315068493,101.96890410958903,101.90356164383562,101.85821917808218,101.76287671232876,101.72753424657535,101.63150684931507
18,CAN 8 Jun 23,CA135087UT96,0.08,1992-08-16,2021-12-01,2023-06-01,17,108.74328767123288,108.6913698630137,108.61945205479452,108.51753424657534,108.45561643835616,108.24986301369863,108.14794520547946,108.10602739726028,108.0141095890411,108.03219178082192,107.96643835616439
19,CAN 2.75 Jun 22,CA135087ZU15,0.0275,2011-08-02,2021-12-01,2022-06-01,4,100.5986301369863,100.58109589041096,100.56356164383561,100.52602739726026,100.50849315068494,100.4458904109589,100.41835616438357,100.41082191780822,100.38328767123288,100.38575342465754,100.3631506849315
20,CAN 2.25 Jun 25,CA135087D507,0.0225,2014-06-29,2021-12-01,2025-06-01,41,102.66342465753425,102.6372602739726,102.64109589041097,102.60493150684933,102.51876712328767,102.24027397260274,102.05410958904109,101.95794520547946,101.9917808219178,102.06561643835616,102.23712328767122
21,CAN 1.5 Jun 26,CA135087E679,0.015,2015-07-20,2021-12-01,2026-06-01,53,99.95561643835617,100.00150684931506,99.95739726027396,99.94328767123288,99.82917808219179,99.5068493150685,99.37273972602739,99.22863013698631,99.24452054794521,99.44041095890411,99.57808219178082
22,CAN 1 Jun 27,CA135087F825,0.01,2016-08-02,2021-12-01,2027-06-01,65,97.07041095890412,97.16767123287671,97.2049315068493,97.19219178082191,97.06945205479452,96.69123287671232,96.44849315068493,96.30575342465754,96.38301369863014,96.56027397260274,96.83205479452056
23,CAN 2 Jun 28,CA135087H235,0.02,2017-08-01,2021-12-01,2028-06-01,77,102.17582191780822,102.25034246575342,102.14486301369863,102.15938356164384,102.00390410958904,101.53746575342466,101.20698630136987,101.14150684931506,101.17602739726027,101.54054794520547,101.8291095890411
24,CAN 2.25 Jun 29,CA135087J397,0.0225,2018-07-27,2021-12-01,2029-06-01,90,104.19342465753425,104.3372602739726,104.34109589041095,104.33493150684932,104.10876712328766,103.69027397260274,103.33410958904109,103.16794520547946,103.2817808219178,103.70561643835616,104.02712328767123
